pm25_BETR012,Date,pm25_BETR001,pm25_BETN043,pm25_BETB011,pm10_BETR012,pm10_BETR001,pm10_BETN043,pm10_BETB011,pm10_BETWOL1
30.5,2008-01-01 00:00:00,53.625,10.5,29.75,24.125,51.375,18.75,35.5,20.0
10.125,2008-01-02 00:00:00,65.875,13.0,53.125,32.125,64.25,22.375,16.25,29.0
13.25,2008-01-03 00:00:00,40.875,14.125,53.125,31.5,62.875,15.5,13.125,30.875
11.375,2008-01-04 00:00:00,67.125,11.125,52.25,45.375,35.5,50.0,20.125,30.0
15.0,2008-01-05 00:00:00,72.5,24.75,52.75,56.75,34.25,99.75,51.875,26.125
15.875,2008-01-06 00:00:00,74.375,27.625,35.375,59.75,34.375,134.625,40.75,35.125
14.25,2008-01-07 00:00:00,38.875,20.25,16.75,20.375,24.0,71.375,73.25,36.0
28.625,2008-01-08 00:00:00,27.75,13.875,6.5,23.0,19.125,106.125,29.25,56.625
39.75,2008-01-09 00:00:00,63.375,9.125,5.25,19.5,16.875,149.0,36.125,23.75
12.375,2008-01-10 00:00:00,79.0,13.5,6.375,16.25,23.0,138.625,38.25,22.75
22.25,2008-01-11 00:00:00,110.625,13.25,19.625,12.125,52.25,95.5,50.75,21.0
20.375,2008-01-12 00:00:00,101.125,13.0,26.375,8.625,52.125,76.5,62.625,32.625
40.5,2008-01-13 00:00:00,78.375,20.875,20.25,21.875,77.625,64.375,65.625,31.875
60.625,2008-01-14 00:00:00,15.375,24.25,17.5,28.25,87.5,40.625,27.0,38.375
62.625,2008-01-15 00:00:00,25.375,18.0,20.25,22.375,66.0,106.125,27.875,33.75
13.25,2008-01-16 00:00:00,30.125,14.625,19.5,30.875,115.375,178.5,25.125,26.75
15.75,2008-01-17 00:00:00,27.625,11.125,18.875,27.875,80.375,133.75,19.625,12.375
27.375,2008-01-18 00:00:00,25.25,7.25,21.375,34.375,79.875,125.75,16.75,10.25
19.875,2008-01-19 00:00:00,22.75,26.25,16.125,33.625,53.0,88.375,14.75,21.75
16.5,2008-01-20 00:00:00,31.875,21.125,7.125,62.75,37.5,29.875,42.0,25.25
27.5,2008-01-21 00:00:00,52.75,11.25,13.625,71.875,91.875,33.375,29.5,26.5
32.75,2008-01-22 00:00:00,12.875,12.875,15.5,37.875,125.25,52.0,42.0,28.375
45.875,2008-01-23 00:00:00,12.375,16.125,28.375,27.75,133.5,61.5,40.5,25.625
17.5,2008-01-24 00:00:00,17.25,8.25,25.125,48.25,119.375,46.375,44.625,18.25
32.75,2008-01-25 00:00:00,19.75,28.5,23.0,74.375,87.0,107.0,56.375,26.75
43.125,2008-01-26 00:00:00,19.5,34.5,21.5,116.5,23.5,106.625,82.5,22.625
68.5,2008-01-27 00:00:00,32.375,39.25,28.375,81.125,31.25,71.75,79.125,21.375
22.375,2008-01-28 00:00:00,61.5,13.375,36.125,79.625,34.75,24.0,42.125,35.375
20.875,2008-01-29 00:00:00,21.125,13.5,42.5,18.75,46.625,31.875,31.75,15.75
17.375,2008-01-30 00:00:00,10.0,16.25,14.625,27.0,34.25,31.75,57.5,20.375
19.5,2008-01-31 00:00:00,11.25,21.875,27.0,30.75,44.25,21.375,94.875,22.0
21.375,2008-02-01 00:00:00,25.5,18.75,20.25,30.75,61.25,51.25,125.75,17.375
11.625,2008-02-02 00:00:00,24.0,15.75,14.875,26.375,67.5,56.0,108.125,24.25
6.625,2008-02-03 00:00:00,43.25,34.125,15.375,29.875,26.75,47.375,86.375,36.125
8.0,2008-02-04 00:00:00,23.0,39.125,33.25,35.625,24.25,40.375,20.5,40.0
21.5,2008-02-05 00:00:00,24.5,11.5,27.375,52.0,33.375,23.25,28.875,26.0
18.875,2008-02-06 00:00:00,19.125,9.875,23.875,22.75,29.375,27.375,27.75,18.875
20.5,2008-02-07 00:00:00,12.625,25.125,18.375,20.625,39.0,28.75,26.75,17.375
20.25,2008-02-08 00:00:00,22.75,56.375,26.0,20.125,43.25,38.0,41.75,19.0
26.375,2008-02-09 00:00:00,12.5,69.5,23.125,20.125,74.875,37.5,47.25,36.625
25.75,2008-02-10 00:00:00,36.5,76.0,26.0,27.125,36.25,35.625,61.125,37.0
19.0,2008-02-11 00:00:00,12.625,11.625,46.875,35.625,14.375,34.5,26.25,41.25
19.75,2008-02-12 00:00:00,13.75,13.875,63.375,35.625,26.875,20.25,26.875,46.875
24.375,2008-02-13 00:00:00,14.75,30.875,34.375,26.625,38.875,22.125,23.125,41.25
20.0,2008-02-14 00:00:00,19.25,21.25,29.5,13.375,39.0,22.5,22.5,34.375
21.375,2008-02-15 00:00:00,14.375,40.375,14.25,10.0,69.0,40.875,30.75,37.375
25.0,2008-02-16 00:00:00,29.875,32.625,14.0,17.75,37.25,42.5,39.875,65.625
28.375,2008-02-17 00:00:00,43.0,34.75,9.5,21.375,31.375,15.875,37.75,80.25
41.0,2008-02-18 00:00:00,38.0,44.75,23.0,20.5,17.5,24.375,32.125,80.875
47.75,2008-02-19 00:00:00,13.875,36.25,41.125,23.375,30.5,24.0,15.625,75.25
37.125,2008-02-20 00:00:00,12.0,36.0,46.125,27.75,41.625,15.25,13.75,22.0
14.25,2008-02-21 00:00:00,20.875,45.125,16.125,16.0,23.0,36.625,22.375,40.5
13.875,2008-02-22 00:00:00,27.875,65.5,19.875,19.25,50.0,40.5,23.25,40.75
22.375,2008-02-23 00:00:00,24.0,19.5,26.875,18.125,18.375,45.375,23.625,41.75
