o3_b011,o3_n043,o3_r001,o3_r012,o3_r701,o3_r710,o3_r801,o3_r811,o3_r831,o3_wol1
5.75,14.5,5.5,11.0,5.25,8.5,10.125,18.25,12.0,7.625
19.875,24.0,14.375,23.875,17.0,19.75,9.5,22.5,21.5,17.875
19.75,22.5,16.625,32.875,20.375,25.875,11.375,34.0,33.875,22.625
13.875,29.75,25.375,37.0,21.125,30.375,8.5,17.375,7.5,13.125
66.0,55.75,54.625,66.75,46.75,53.75,41.875,53.5,43.25,53.875
47.25,40.25,33.75,52.25,30.75,38.75,22.25,29.25,32.75,35.0
66.0,33.25,50.75,65.375,51.375,62.5,45.375,53.25,58.875,46.125
54.5,32.25,38.375,63.75,25.625,28.5,30.0,45.875,24.25,49.0
50.125,33.875,39.125,57.5,36.75,41.25,33.75,28.875,32.375,46.125
44.125,29.625,31.375,55.25,38.625,45.25,28.5,36.75,22.875,38.5
50.375,34.75,34.75,58.5,33.75,41.125,27.125,38.375,29.5,45.875
50.75,40.625,45.0,54.5,40.5,49.625,41.25,44.0,47.125,43.5
60.25,45.375,55.625,66.375,47.625,54.875,37.375,49.375,45.0,56.375
44.0,30.625,39.125,53.75,37.125,44.625,26.0,36.125,,40.125
59.25,44.375,55.625,64.375,50.0,56.125,43.375,55.125,,53.875
61.375,15.25,49.0,67.25,40.875,36.5,46.25,49.125,1.125,51.0
51.375,31.625,29.75,55.625,39.625,47.75,12.375,42.125,32.375,40.0
55.0,34.875,42.25,55.25,44.75,49.875,35.375,44.0,45.375,40.375
62.875,46.5,56.0,63.0,55.375,61.5,56.875,59.875,53.5,50.5
55.0,44.125,50.875,58.75,49.75,55.5,46.625,52.0,49.25,46.375
60.75,46.875,53.0,62.375,52.75,57.5,44.25,44.625,48.0,49.75
51.625,32.25,46.5,57.0,49.75,58.625,43.375,50.25,45.625,45.25
33.5,19.0,23.5,46.75,11.625,23.0,13.875,17.875,10.0,31.625
30.375,27.0,25.5,37.125,21.0,29.375,17.75,21.125,39.375,26.125
38.625,18.75,26.125,41.0,33.875,41.0,22.125,21.0,45.125,21.5
50.625,35.5,35.375,53.5,37.375,43.875,33.75,40.375,42.75,41.125
54.75,39.875,39.75,57.25,34.625,42.625,41.25,44.125,47.125,34.375
23.25,15.875,18.375,31.75,14.375,19.375,7.625,10.625,15.0,13.0
34.875,17.875,28.5,39.125,21.25,28.375,7.5,13.375,4.25,29.5
28.625,15.5,15.375,30.75,29.25,40.125,23.5,37.875,43.0,15.0
59.0,41.625,49.625,62.0,46.75,46.5,43.75,49.75,36.75,49.75
72.5,47.125,60.375,62.125,58.125,66.875,30.375,38.375,61.875,55.25
59.0,43.25,44.875,60.875,48.5,53.625,37.75,50.75,54.5,42.375
60.0,46.25,45.875,65.5,50.125,60.5,36.125,53.25,45.75,55.25
63.125,48.125,52.875,64.125,52.75,60.125,34.5,31.375,35.875,58.75
61.25,35.875,48.625,64.375,42.875,49.25,40.125,48.5,40.125,51.125
76.375,51.875,66.125,77.5,65.375,48.375,58.75,62.0,53.0,60.75
31.375,13.125,21.75,47.625,22.375,29.875,9.25,17.75,1.0,31.0
35.625,16.75,23.375,51.875,13.125,30.0,4.625,17.5,,31.125
41.875,24.875,26.75,56.875,28.375,38.375,10.625,24.5,20.0,32.0
31.5,30.75,20.625,51.0,22.625,24.75,19.0,27.25,35.25,34.625
26.375,11.75,15.625,41.125,15.125,17.875,14.25,26.375,32.375,21.25
17.75,11.25,7.375,35.875,13.125,16.5,11.625,20.0,24.875,9.875
